a,person_id,fio,orcid,researcherId,scopusId,openAlexId,alt_fios
7047,1083191,J. M. Maugain,,,,A5045161110,J. M. Maugain; J. Maugain; J.‐M Maugain; Jm Maugain
7048,1083192,P. Kuzhir,0000-0003-3689-0837,,http://www.scopus.com/inward/authorDetails.url?authorID=57200289247&partnerID=MN8TOARS,A5045199918,Polina Kuzhir; Polina P. Kuzhir; П. П. Кужир
7049,1083193,C. Daum,,,,A5045510552,C. Daum; C. R. Daum; Cornelis Daum
7050,1083194,M. Imori,,,,A5045602384,M. Imori; Masatosi Imori
7051,1083195,A.S. Vovenko,,,,A5045664218,А. С. Вовенко
7052,1083196,Y. Xie,0000-0003-0365-4256,,,A5045771888,"Xie Y; Y. Xie; Y.G. Xie; Yi‐Long Xie; Y. G. Xie; Xie YanHu; Xie YanHua; Xie Yanhui; Xie Yan‐bing; Xie Yingsong; Xie Yi‐Lin; Xie Yi‐Long; Xie Yongjian; Xie Yong‐jian; Xie Yuan; Xie Yuancheng; Xie Yuguang; Xie Yushun; Xie Yuzhen; Xie Yu‐Guang; Xie Yu‐hui; Xie yuntao; Xie, Y.G.; Xie, Yuguang; Yanbing Xie; Yanhu Xie; Yanhua Xie; Yanhui Xie; Yankai Xie; Yan‐Hu Xie; Yingsong Xie; Yi‐Lin Xie; Yongfa XIE; Yongjian Xie; Yong‐Jian Xie; Yu-Guang Xie; Yuan Xie; Yuancheng Xie; Yuan‐Cheng Xie; Yuguang Xie; Yuhui Xie; Yuntao Xie; Yushun Xie; Yuzhen Xie; Yu‐Guang Xie; 谢宇广"
7053,1083197,M. Medinnis,,,,A5046240221,M. Medinnis; Mike Medinnis
7054,1083198,M. Sorbi,0000-0003-3333-1589,,,A5046278798,M. Sorbi; M.. Sorbi; Massimo Sorbi; Sorbi Massimo
7055,1083199,C. Liu,,,,A5046960359,C. Liu
7056,1083200,J. S. H. Lee,,,,A5046976577,J. S. H. Lee
7057,1083201,J. Guo,0000-0002-8525-8267,,,A5047180097,J. Guo; Guo Jing; Guo Jun; Jing Guo; Jun Guo; Jiquan Guo; Guo Jian‐xin; Jianxin Guo; J. K. Guo; Guo Jian; Guo JianLin; Guo Jiankui; Guo Jian‐Lin; Guo Jingchun; Guo Jingjing; Guo Jing‐Chun; Guo Jin‐Kui; Guo Jiquan; Guo JunYao; Jian Guo; Jianlin Guo; Jian‐Lin Guo; Jian‐kui Guo; Jian‐lu Guo; Jingchun Guo; Jing‐Chun Guo; Jing‐Jing Guo; Jinkui Guo; Jin‐Kui Guo; Junyao Guo; Jun‐Yao Guo
7058,1083202,N. D. Brett,,,,A5047236500,N. Brett; N. D. Brett
7059,1083203,W. B. Quayle,,,,A5047602192,W. B. Quayle; W. Quayle
7060,1083204,E. Urkovsky,,,,A5047642758,E. Urkovsky; Evgeny Urkovsky
7061,1083205,T. Dubbs,,,,A5048065515,T. Dubbs; T.P. Dubbs; Tim Dubbs; Tim P. Dubbs
7062,1083206,S. C. Lee,,,,A5048071733,S. C. Lee
7063,1083207,E. Wulf,,,,A5048076508,E. A. Wulf; E. Wulf; Eric A. Wulf; Eric Alan Wulf; Eric Wulf
7064,1083208,W. Kuykendall,,,,A5048143330,W. E. Kuykendall; W. Kuykendall; W.E.Jr. Kuykendall; William E Kuykendall; William Kuykendall
7065,1083209,D. Liu,,,,A5048265636,D. Liu
7066,1083210,S. K. Prasad,0000-0002-7394-8834,,,A5048596381,S. Prasad; S. K. Prasad; Sk Prasad
7067,1083211,C. A. Magrath,,,,A5048611437,C. A. Magrath; C. Magrath; Caroline Alexandra Magrath
7068,1083212,A. Mitra,0000-0003-3714-0915,,,A5048889220,A. Mitra; A. N. Mitra; Ankush Mitra
7069,1083213,G. Stavropoulos,0000-0002-8549-6855,,,A5048999881,G. Stavropoulos; Georgios Stavropoulos; G.D. Stavropoulos; G. . Stavropoulos; Georgios D. Stavropoulos
7070,1083214,A. L. Read,,,,A5049083790,A. L. Read; A. Read; A. L Read; Al Read
7071,1083215,D. Buira-Clark,,,,A5049248378,D. Buira‐Clark; Daniel Buira‐Clark
7072,1083216,A. A. Carter,,,,A5049257268,A. A. Carter
7073,1083217,A. Dahlhoff,,,,A5049680138,A. Dahlhoff; Andrea Dahlhoff
7074,1083218,E. J. Gallas,,,,A5049761332,E J. Gallas; E. Gallas; E. J. Gallas
7075,1083219,M. Lewandowska,,,,A5050066682,M. Lewandowska; Marta Lewandowska
7076,1083220,P. Zarzhitsky,,,,A5050144726,P. Zarzhitsky; Pavel Zarzhitsky
7077,1083221,B. Koblitz,,,,A5050537305,B. Koblitz; Birger Koblitz
7078,1083222,O. Gaumer,,,,A5051479084,O. Gaumer; Olivier Gaumer
7079,1083223,Yuichi Tanaka,0009-0004-2476-5670,,,A5051645636,Y. Tanaka; Tanaka Yuichi; Yuichi Tanaka; Yu‐ichi Tanaka
7080,1083224,S. Rajek,,,,A5051661124,S. Rajek; Silke Rajek
7081,1083225,A. Haas,,,,A5051808070,A. Haas; A. P de Haas; A. P. De Haas; Andrew Haas
7082,1083226,C. Feng,,,,A5052573251,C. Feng; C. J. Feng; Chan‐Jui Feng
7083,1083227,A. Holmes,,,,A5052623685,A. Holmes; A. R. Holmes; Alan Holmes; Alan R. Holmes
7084,1083228,S. Liu,,,,A5052726419,S. Liu
7085,1083229,J. P. Thomas,,,,A5052807549,J. Thomas; J. P. Thomas; J‐C. Thomas
7086,1083230,O. Francisco,,,,A5053597863,O. Francisco; O. Norniella Francisco; Olga Norniella Francisco
7087,1083231,C. J. Hansen,,,,A5054220958,C. Hansen; C. J. Hansen; Christian Hansen
7088,1083232,C. Wang,,,,A5054293920,C. Wang
7089,1083233,R. J. Homer,,,,A5054525907,R James Homer; R. Homer; R. J. Homer; R.J Homer; Rj Homer
7090,1083234,M. P. Kelly,,,,A5054625570,M. Kelly; M. P. Kelly; Mp Kelly
7091,1083235,B. Van Eijk,,,,A5055008890,B. Van Der Eijk; B. Van Eijk; B. v. d. Eijk; Bob Van Eijk
7092,1083236,D. Traynor,,,,A5055096426,D. P. Traynor; D. Traynor; Daniel Traynor
7093,1083237,P. de Saintignon,,,,A5055461848,P. De Saintignon; Paul de Saintignon
7094,1083238,O. B. Dogan,0000-0002-1324-9513,,,A5055624289,O. B. Dogan; O. Dogan; Oykem Dogan; Öykem Doğan; Öztürk DOĞAN
7095,1083239,J. Siegrist,,,,A5056514129,J. L. Siegrist; J. Siegrist
7096,1083240,X. Li,,,,A5056675048,X. Li
7097,1083241,D. Bartsch,,,,A5056896179,D. Bartsch; D.L. Bartsch; Detlef Bartsch
7098,1083242,B. Mohn,,,,A5056984303,B. Mohn; Bjarte Alsaker Mohn; Bjarte Mohn
7099,1083243,E. J. Buis,,,,A5057373558,E.‐J. Buis; E. Buis; E. J. Buis; Erik Buis; Ernst‐Jan Buis
7100,1083244,J. P. Martin,,,,A5057410623,J. Martin; J. P. Martin; J.P Martin; J.‐P. Martin; JF Martin
7101,1083245,Andrew Harvey,0000-0001-5467-8624,,,A5057549020,A. Harvey; A. R. Harvey; Andrew Harvey; Andrew R. Harvey; Andrew R. Harvey.; Andrew Robert Harvey; Andrew. R. Harvey
7102,1083246,G. Comune,,,,A5057656259,G. Comune; Gianluca Comune
