a,person_id,fio,orcid,researcherId,scopusId,openAlexId,alt_fios
0,1,Нижегородцев Роберт Михайлович,0000-0003-3798-4835,N-1776-2017,36968164900,,
1,2,Пащенко Федор Федорович,0000-0001-8898-2720,E-3466-2018,6701555696,,
2,3,Клочков Владислав Валерьевич,0000-0003-4149-7562,N-6339-2017,14042038800,,
3,4,Цыганов Владимир Викторович,0000-0001-9274-0548,9214-2016,57086320300,,
4,5,Новиков Дмитрий Александрович,0000-0002-9314-3304,,7102213403,,
5,6,Кульба Владимир Васильевич,0000-0002-5076-6536,Y-9558-2019,24356086800,,
6,7,Бурков Владимир Николаевич,0000-0001-6633-3762,O-3015-2017,7007087674,,
7,8,Швец Юрий Юрьевич,0000-0002-6557-1416,,56529416000,,
8,9,Ратнер Светлана Валерьевна,0000-0003-3485-5595,T-3982-2019,7004582325,,
9,10,Туровский Ярослав Александрович,0000-0002-5290-885X,AAQ-1746-2020,56136046200,,
10,11,Лазарев Александр Алексеевич,0000-0003-0979-8189,M-5079-2013,7101908181,,
11,12,Васильев Станислав Николаевич,,,6603565134,,
12,13,Вишневский Владимир Миронович,0000-0001-7373-4847,E-9771-2014,8423079400,,
13,15,Гусев Владислав Борисович,0000-0001-6382-7441,,55489819100,,
14,16,Алескеров Фуад Таги Оглы,0000-0002-3120-9478,F-7381-2014,7003947309,,
15,17,Дорофеюк Александр Александрович,,,,,
16,18,Фархадов Маис Паша Оглы,0000-0002-7166-9567,S-7814-2016,57195741457,,
17,19,Краснова Светлана Анатольевна,0000-0002-4265-8279,B-4464-2017,6701865769,,
18,21,Секерин Владимир Дмитриевич,0000- 0002-2803-3651,C-7426-2014,56088643300,,
19,22,Райков Александр Николаевич,0000-0002-6726-9616,AAG-2288-2019,36806473600,,
20,23,Дорофеюк Юлия Александровна,,,,,
21,24,Мещеряков Роман Валерьевич,0000-0002-1129-8434,P-4918-2014,23035794100,,
22,26,Хлебников Михаил Владимирович,0000-0001-9086-1426,K-3819-2014,25654973600,,
23,27,Поляк Борис Теодорович,0000-0002-1898-2984,G-6541-2011,7005072117,,
24,29,Пащенко Александр Федорович,0000-0002-6299-4894,G-1585-2017,55539837600,,
25,30,Уткин Виктор Анатольевич,0000-0002-2008-0234,B-4463-2017,35358885500,,
26,31,Швец Ирина Юрьевна,0000-0002-9602-9582,,56681876800,,
27,32,Цвиркун Анатолий Данилович,,HKE-7783-2023,6603508199,,
28,33,Горидько Нина Павловна,0000-0001-8961-0232,Y-9997-2019,55858889200,,
29,35,Буркова Ирина Владимировна,0000-0002-4671-0847,Y-4046-2018,6507681113,,
30,37,Жарко Елена Филипповна,0000-0002-8895-4786,C-2210-2018,12645397200,,
31,38,Кононов Дмитрий Алексеевич,0000-0002-6059-5590,AAN-3140-2020,6602123722,,
32,39,Чернов Игорь Викторович,0000-0002-8776-3064,AAN-3455-2020,56938131300,,
33,40,Галяев Андрей Алексеевич,0000-0001-6494-6880,B-2131-2017,12760290200,,
34,41,Толок Алексей Вячеславович,0000-0002-7257-9029,V-7594-2019,28268055700,,
35,43,Бахтадзе Наталья Николаевна,0000-0001-9319-6951,P-7164-2017,6603467848,,
36,44,Калашников Андрей Олегович,0000-0001-5204-1398,P-7164-2015,16066992300,,
37,45,Касаткин Сергей Иванович,0000-0003-4444-0473,,55906050800,,
38,46,Митришкин Юрий Владимирович,0000-0001-9936-4012,G-7886-2014,6603193121,,
39,47,Совлуков Александр Сергеевич,0000-0002-5241-5553,,6602579885,,
40,49,Чеботарев Павел Юрьевич,0000-0001-8232-847X,M-6398-2013,55905202200,,
41,50,Михальский Анатолий Иванович,0000-0003-1998-1315,B-3959-2017,7007077963,,
42,51,Резчиков Александр Федорович,0000-0002-4312-0008,N-8009-2016,6602670595,,
43,52,Заложнев Алексей Юрьевич,0000-0001-7213-5519,AAJ-8046-2021,6602217299,,
44,53,Чхартишвили Александр Гедеванович,0000-0002-2970-1244,M-7933-2013,6506434827,,
45,54,Арутюнов Арсен Левонович,,,,,
46,55,Ядыкин Игорь Борисович,0000-0003-1435-7054,,6603738170,,
47,56,Затуливетер Юрий Семенович,0000-0002-4462-0098,K-1177-2018,6506245472,,
48,57,Кочкаров Азрет Ахматович,,,,,
49,58,Промыслов Виталий Георгиевич,0000-0003-1919-8718,J-9981-2018,6602106161,,
50,59,Чернышев Кирилл Романович,0000-0003-4637-6161,D-4507-2018,55886809800,,
51,61,Гончаренко Владимир Иванович,0000-0002-1667-1197,,57194684578,,
52,62,Щербаков Павел Сергеевич,0000-0002-4033-2507,Q-8921-2016,7003764900,,
53,63,Петухов Николай Анатольевич,0000-0001-5086-9685,,,,
54,64,Юркевич Евгений Владимирович,,,,,
55,66,Глумов Виктор Михайлович,0000-0002-4137-8814,AAJ-6984-2021,7004384081,,
56,67,Русяева Елена Юрьевна,0000-0002-2128-2284,,56368328500,,
57,72,Павлов Борис Викторович,0000-0001-8305-8571,,7006790828,,
58,73,Чернявский Александр Леонидович,0000-0002-2029-702Х,I-8694-2015,57477368000,,
59,74,Рутковский Владислав Юльевич,,,,,
60,75,Каршаков Евгений Владимирович,0000-0002-3208-8866,Z-1113-2018,24476490800,,
61,76,Губанов Дмитрий Алексеевич,0000-0002-0099-3386,N-6957-2017,51261227400,,
62,77,Кушников Вадим Алексеевич,,,,,
63,79,Губко Михаил Владимирович,0000-0002-5958-101X,F-7686-2013,55826165700,,
64,80,Коргин Николай Андреевич,0000-0003-1744-3011,D-3719-2014,8987559900,,
65,81,Щепкин Александр Васильевич,0000-0002-4229-6976,U-3816-2019,6602880842,,
66,82,Калянов Георгий Николаевич,0000-0003-2429-0703,,6506597612,,
67,83,Курдюков Александр Петрович,,,,,
68,84,Жигалов Кирилл Юрьевич,0000-0001-8104-2947,,7004154193,,
69,85,Кочетков Сергей Александрович,0000-0003-4965-7460,B-4423-2017,14056193400,,
70,86,Кушнер Алексей Гурьевич,0000-0003-3465-4048,B-5306-2017,15026761100,,
71,87,Степановская Ираида Александровна,0000-0003-2012-8063,K-1151-2018,55819334900,,
72,88,Подлазов Виктор Сергеевич,0000-0002-9175-1138,,,,
73,89,Кургалин Сергей Дмитриевич,,,,,
74,92,Глущенко Антон Игоревич,0000-0002-6948-9807,O-2446-2013,54895223300,,
75,93,Разумовский Алексей Игоревич,0000-0003-1769-0178,ABD-5058-2020,57214823285,,
76,94,Богомолов Алексей Сергеевич,,,,,
77,95,Легович Юрий Сергеевич,,,,,
78,96,Мандель Александр Соломонович,0000-0001-8936-4596,U-4243-2017,7005727659,,
79,97,Уткин Антон Викторович,0000-0001-5927-2877,F-9503-2017,57194063064,,
80,100,Горохова Анна Евгеньевна,0000-0002-5820-1687,I-1733-2017,57021882400,,
81,101,Хоботов Евгений Николаевич,0000-0001-9016-4970,,6603627179,,
82,102,Рослякова Наталья Андреевна,0000-0002-7511-2141,,57205613193;  57209798987,,
83,103,Рубинович Евгений Яковлевич,0000-0002-2949-0440,I-5259-2013,6602810021,,
84,104,Акинфиев Валерий Константинович,,,6602350145,,
85,105,Козырев Дмитрий Владимирович,,,26040704400,,
86,106,Макаренко Андрей Викторович,0000-0002-3875-7549,C-3058-2012,48561467400,,
87,108,Ахметзянов Атлас Валиевич,0009-0001-5685-3868,,6701755038,,
88,109,Кулида Елена Львовна,,,6506799183,,
89,110,Авдеева Зинаида Константиновна,0000-0002-4517-6750,J-4429-2013,26647340000,,
90,113,Покровская Ирина Вячеславовна,,,,,
91,117,Абдулова Екатерина Алексеевна,0000-0002-7843-5202,D-4629-2018,55367752400,,
92,118,Еналеев Анвер Касимович,0000-0002-4450-9533,AAA-9606-2021,6603529363,,
93,120,Александров Альберт Георгиевич,,,,,
94,121,Коврига Светлана Вадимовна,0000-0001-7675-5192,AAZ-9169-2020,24824593100,,
95,122,Вересников Георгий Сергеевич,0000-0002-9985-5652,ABD-2779-2020,57193709333,,
96,124,Макаров Вадим Владимирович,0000-0003-4874-5418,E-1401-2014,56673546700,,
97,125,Артамонов Евгений Иванович,,,,,
98,126,Самохин Александр Сергеевич,0000-0002-0821-050X,GVU-0369-2022,56150017500,,
99,130,Батов Алексей Владимирович,0000-0003-3405-4106,K-2104-2018,57119746900,,
100,131,Честнов Владимир Николаевич,0000-0002-2418-1593,V-6036-2018,6603945697,,
101,132,Иващенко Владимир Андреевич,,,,,
102,133,Кузнецов Олег Петрович,0000-0002-5061-3855,J-5275-2018,36966033000,,
103,137,Петухова Нина Васильевна,,,,,
104,139,Тренев Николай Николаевич,,,7801575181,,
105,142,Исхаков Андрей Юнусович,0000-0002-6603-265X,P-3722-2017,57188558395,,
106,144,Фищенко Елена Алексеевна,0000-0003-4150-5649,J-8973-2018,57200280188,,
107,148,Пестерев Александр Витальевич,0000-0002-5230-0836,AAG-1019-2019,6701416957,,
108,149,Ромакин Владимир Александрович,0000-0002-9678-0130,J-9256-2015,55858172400,,
109,150,Лебедев Валентин Григорьевич,,,57191279222,,
110,151,Аристова Наталья Игоревна,0000-0001-8819-4134,AAJ-3786-2021,55858823500,,
111,153,Рапопорт Лев Борисович,0000-0002-9882-925X,J-5925-2018,7005058339,,
112,154,Антипов Валерий Иванович,0000-0002-5691-3816,,57430832800,,
113,155,Барабанов Иван Николаевич,0000-0002-0523-0935,AAI-9049-2021,7004139202,,
114,158,Абрамова Нина Александровна,,,,,
115,159,Чайковский Михаил Михайлович,0000-0002-1141-9195,AAJ-9798-2021,26027762900,,
116,161,Исхакова Анастасия Олеговна,0000-0001-8358-298X,P-3681-2017,57201779127,,
117,162,Поляков П А,,,,,
118,167,Волковицкий Андрей Кириллович,,,16305999800,,
119,168,Амеличев В В,,,,,
120,171,Власов Станислав Александрович,,,,,
121,173,Балабанов Андрей Валерьевич,0000-0002-4207-4732,AFI-4995-2022,57189247161,,
122,174,Белов Алексей Анатольевич,0000-0002-3126-0206,S-3872-2018,57193753066,,
123,175,Искаков Алексей Борисович,0000-0001-6954-8179,T-9199-2017,6701726011,,
124,176,Каравай Михаил Федорович,0000-0002-9343-366Х,,,,
125,177,Полетыкин Алексей Григорьевич,0000-0002-0603-2471,J-9318-2018,6506176312,,
126,178,Галин Ринат Романович,0000-0001-6429-7868,O-5009-2018,57209776926,,
127,180,Бодякин Владимир Ильич,,,,,
128,181,Корепанов Всеволод Олегович,0000-0002-2968-5192,F-7227-2017,55345824800,,
129,182,Дургарян Ирина Суреновна,,,,,
130,184,Крюкова Лидия Николаевна,,,,,
131,185,Грязина Елена Николаевна,,,,,
132,186,Смирнов Сергей Владимирович,0000-0003-4844-4252,,55901615000,,
133,187,Чинакал Вячеслав Олегович,,,,,
134,189,Гребенюк Елена Алексеевна,0000-0002-5153-8578,AAN-3106-2021,6602503593,,
135,190,Захарова Алена Александровна,0000-0003-4221-7710,V-2889-2019,57193934812,,
136,191,Андрианова Ольга Геннадьевна,0000-0002-8407-1046,C-4431-2014,55507711800,,
137,194,Дранко Олег Иванович,0000-0002-4664-1335,J-8202-2014,57220742303,,
138,196,Ласточкин Константин Андреевич,0000-0002-1409-0401,AAD-4522-2019,57204759092,,
139,197,Алчинов Александр Иванович,,,57212198836,,
140,200,Балашов Максим Викторович,0000-0002-5414-2149,L-2315-2013,55947326500,,
141,201,Шевченко Андрей Михайлович,0000-0002-9472-6261,,57223946185,,
142,202,Ларионов Андрей Алексеевич,0000-0003-0539-0442,Е-9783-2014,55402241600,,
143,204,Якуба Вячеслав Иванович,0000-0001-5385-2512,K-8775-2015,15838265400,,
144,205,Васьковский Сергей Владимирович,0000-0002-3322-1956,,,,
145,207,Рощин Александр Алексеевич,0000-0001-7100-4197,AAN-3822-2021,55859139300,,
146,213,Назин Александр Викторович,0000-0001-6155-7425,C-4403-2014,7003893804,,
147,214,Агаев Рафиг Паша Оглы,0000-0002-2901-6546,T-9984-2017,6603779655,,
148,215,Клепарский Вадим Георгиевич,,,"6505980064, 6603149582",,
149,216,Мамченко Марк Владиславович,0000-0002-6366-9786,AAW-1292-2020,57212309079,,
150,217,Морозов Юрий Викторович,0000-0001-5391-5667,AAK-5682-2021,57191253673,,
151,218,Трахтенгерц Эдуард Анатольевич,,,,,
152,219,Сидельников Юрий Валентинович,,,,,
153,221,Самохина Марина Александровна,0000-0002-7043-706X,AAL-3864-2020,57201875555,,
154,222,Павельев Владимир Васильевич,,,,,
155,223,Виноградова Елена Петровна,0000-0001-8540-3121,,35095643300,,
156,224,Семенова Ольга Валерьевна,0000-0001-7846-6212,С-5988-2014,7005661041,,
157,229,Ефросинин Дмитрий Владимирович,,,,,
158,231,Максимов Евгений Михайлович,0000-0002-9561-8801,AAK-1476-2021,36179786400,,
159,234,Чадеев Валентин Маркович,0000-0002-0915-9128,AAJ-3825-2021,6603772039,,
160,235,Мусатова Елена Геннадьевна,0000-0002-2746-3975,L-8752-2016,55858041000,,
161,239,Поляков Олег Петрович,0000-0001-9232-5790,,7003489755,,
162,241,Касимов Асим Мустафаевич,,,14521148900,,
163,242,Мясоедова Зинаида Павловна,0000-0001-6022-3503,,57208514934,,
164,243,Дружинина Ольга Валентиновна,0000-0002-9242-9730,S-8167-2016,7004049100,,
165,244,Байбулатов Артур Арсенович,0000-0002-0079-8724,,55859109000,,
166,245,Муравьев Андрей Михайлович,,,,,
167,247,Амбарцумян Александр Артемович,,,,,
168,250,Борзунов Сергей Викторович,,,,,
169,251,Степанова Наталья Викторовна,,,,,
170,252,Швыдун Сергей Владимирович,0000-0002-6031-8614,H-4663-2015,55862150500,,
171,253,Юдицкий Семен Абрамович,,,,,
172,1094216,H. Liu,,,,A5083090200,H. Liu
173,257,Лотоцкий Владимир Алексеевич,,,,,
174,259,Ульянов Михаил Васильевич,0000-0002-5784-9836,J-7409-2015,56161031500,,
175,260,Абраменков Александр Николаевич,0000-0002-2400-9945,,57111984700,,
176,261,Никулина Ирина Владимировна,0000-0003-0633-6325,P-7164-2017,6603017323,,
177,265,Сальников Антон Михайлович,0000-0002-7211-1872,A-6235-2019,51161935400,,
178,269,Борисов Владимир Георгиевич,,,,,
179,271,Тремба Андрей Александрович,0000-0001-5783-7600,M-5865-2015,15726599100,,
180,272,Яхно Виктор Павлович,,,10439972400,,
181,274,Чеканин Владислав Александрович,,К-7705-2012,,,
182,275,Разбегин Валентин Петрович,,,,,
183,276,Морозов Виталий Пантелеймонович,,,,,
184,277,Петров Владислав Анатольевич,,,,,
185,279,Глебов Виктор Васильевич,0000-0002-3390-161X,AAD-7400-2022,57201720457,,
186,281,Антипов Алексей Семенович,0000-0003-2218-0228,AAJ-6529-2020,57191247727,,
187,286,Рыков Владимир Васильевич,,,,,
188,287,Селезнева Ирина Евгеньевна,0000-0002-7657-5930,,57215900308,,
189,288,Вечкинзова Елена Анатольевна,0000-0003-2543-625X,,,,
190,290,Окольнишникова Ирина Юрьевна,,,,,
191,291,Кустов Аркадий Юрьевич,0000-0003-2524-8654,S-1333-2016,55650628400,,
192,292,Хаблов Дмитрий Владиленович,0000-0003-4807-1281,,6505823271,,
193,293,Юрченков Александр Викторович,0000-0002-2088-5577,AAH-3220-2021,57189512370,,
194,294,Мойланен Евгений Викторович,0000-0003-4506-4510,,56872654300,,
195,295,Диане Секу Абдель Кадер,0000-0002-8690-6422,T-5560-2017,57188548666,,
196,296,Краснов Дмитрий Валентинович,0000-0003-3503-7332,AAI-7056-2021,57191249025,,
197,299,Лысенко Павел Владимирович,0000-0002-2418-6802,AAK-9210-2020,57203139123,,
198,303,Шатов Дмитрий Владимирович,0000-0002-3411-8520,,55858217000,,
199,304,Семенков Кирилл Валерьевич,0000-0003-0865-9072,AAD-2185-2019,6602682334,,
200,308,Шмелева Анна Николаевна,,,,,
201,310,Добровидов Александр Викторович,,,6603138968,,
202,311,Баркалов Сергей Алексеевич,,,,,
203,312,Браништов Сергей Александрович,,,,,
204,313,Емельянов Станислав Васильевич,,,,,
205,314,Иванов Евгений Борисович,,,,,
206,315,Даниленко Ольга Владимировна,0000-0001-6369-6947,,57204979086,,
207,320,Кудинов Юрий Иванович,,,,,
208,323,Дудников Евгений Евгеньевич,,,6601930545,,
209,325,Зенков Валерий Валентинович,0000-0002-5349-3801,AAJ-5371-2021,57195678382,,
210,327,Начинкина Галина Николаевна,0000-0001-7110-1886,,6506418982,,
211,328,Коренев Павел Сергеевич,0000-0003-3393-7337,Z-5896-2019,55355861600,,
212,332,Широкий Александр Александрович,0000-0002-9130-5541,A-4783-2014,57205446231,,
213,334,Базенков Николай Ильич,0000-0003-4430-7525,ABC-7848-2020,6506058697,,
214,336,Таратухина Юлия Валерьевна,0000-0002-6191-3984,,56538734700,,
215,337,Сухарев Олег Сергеевич,,,,,
216,338,Русаков Константин Дмитриевич,0000-0002-1895-8001,,57200276876,,
217,339,Тхоренко Максим Юрьевич,,,56958593400,,
218,343,Маркович Любовь Анатольевна,,,,,
219,344,Бывайков Михаил Евгеньевич,0000-0001-6239-4592,,57200283224,,
220,346,Гольдин Дмитрий Алексеевич,0000-0001-8759-0602,,57205447440,,
221,348,Лезина Зоя Марковна,,,,,
222,350,Маслов Евгений Петрович,,,,,
223,351,Кубышкин Виктор Алексеевич,,,,,
224,352,Трефилов Петр Михайлович,0000-0003-0019-7707,AAL-4585-2021,57211157010,,
225,353,Чеканин Александр Васильевич,,,,,
226,354,Тимин Виктор Николаевич,,,,,
227,356,Костюк Дмитрий Валентинович,,,,,
228,359,Евсютин Олег Олегович,0000-0002-8257-2082,E-6719-2017,56370795800,,
229,362,Павловский Игорь Станиславович,,,,,
230,365,Каменецкий Владимир Александрович,0000-0002-3491-9563,AAJ-1458-2021,6602713199,,
231,366,Попов Александр Иванович,0000-0002-8715-6598,,57199771733,,
232,372,Локтев Михаил Александрович,,,,,
233,373,Макаренко Дмитрий Игоревич,,,,,
234,375,Аракелян Эдик Койрунович,,,,,
235,377,Филимонюк Леонид Юрьевич,0000-0002-0007-3969,F-2611-2017,57189024654,,
236,378,Синюков Алексей Владимирович,,,,,
237,379,Плотникова Наталья Васильевна,,,,,
238,382,Афанасьев Валерий Николаевич,0000-0001-8979-2451,F-7091-2016,7202887350,,
239,385,Бутковский Анатолий Григорьевич,,,,,
240,387,Сизова Людмила Николаевна,,,,,
241,388,Менгазетдинов Надыр Энверович,0000-0002-2515-1900,,13805098700,,
242,389,Агаджанов Ашот Николаевич,0000-0002-5113-7336,,16306177000,,
243,391,Рождественская Софья Михайловна,,,,,
244,392,Мясоедова Мария Александровна,0000-0002-0317-4781,,57208514039,,
245,394,Ревонченкова Инна Федоровна,,,,,
246,399,Шевцов Владислав Сергеевич,,,,,
247,400,Рассадин Юрий Михайлович,0000-0001-5892-2970,AAI-6600-2021,57188878126,,
248,401,Шевляков Андрей Анатольевич,0000-0003-2558-3911,R-3945-2016,56177695800,,
249,403,Вахтин Алексей Александрович,,,,,
250,404,Бунич Александр Львович,,,,,
251,405,Грузман Владимир Аронович,,,,,
252,406,Максимов Алексей Владимирович,,,,,
253,408,Филимонюк Леонид Юрьевич,,,,,
254,412,Расина Ирина Викторовна,,,,,
255,416,Гришин Егор Максимович,0000-0001-6274-920X,AAR-5803-2020,57214235781,,
256,418,Кекелидзе Валерий Борисович,,,,,
257,419,Шайкин Михаил Ермолаевич,0000-0003-4353-2456,AAI-9174-2021,6701767825,,
258,422,Самохин Алексей Васильевич,0000-0003-1352-2839,,55166797900,,
259,424,Рудько Игорь Михайлович,0000-0001-6146-9177,AAI-6995-2021,56021952700,,
260,425,Степанов Василий Николаевич,0000-0001-5030-7439,,57417133000,,
261,431,Лубков Николай Васильевич,,,,,
262,432,Вагин Дмитрий Вениаминович,,,,,
263,434,Трушкова Екатерина Александровна,,,,,
264,436,Гергет Ольга Михайловна,0000-0002-6242-9502,R-1590-2019,37067294200,,
265,440,Динова Наталья Ивановна,,,,,
266,441,Белова Ольга Николаевна,,,,,
267,442,Спиро Арнольд Григорьевич,,,,,
268,445,Душин Сергей Викторович,,,,,
269,449,Прохоренков Александр Михайлович,,,,,
270,456,Лункин Борис Васильевич,,,,,
271,459,Сапронов Павел Викторович,,,,,
272,463,Литвиненко Мария Васильевна,,,,,
273,465,Дудин Александр Николаевич,,,,,
274,468,Квинто Яна Игоревна,0000-0002-4283-7082,HKO-1336-2023,55510961600,,
275,469,Кудинов Юрий Иванович,,,,,
276,472,Цодиков Юлий Моисеевич,,,,,
277,475,Карев Александр Викторович,,,,,
278,476,Бойченко Виктор Александрович,0000-0003-0338-9122,,25624485400,,
279,478,Коньков Артем Евгеньевич,0000-0002-4850-6217,HMV-5631-2023,57218869235,,
280,480,Александров Вадим Альбертович,0000-0002-3616-4520,T-9342-2018,57191669044,,
281,481,Суховеров Виктор Степанович,0000-0001-6126-047X,,14045909900,,
282,483,Карцев Николай Михайлович,,,,,
283,484,Резков Илья Геннадьевич,0000-0001-7923-603X,,55748906600,,
284,1094263,B. Liu,,,,A5010295846,B. Liu
285,488,Фатеев Валерий Яковлевич,0000-0001-7226-1961,HJA-6138-2022,23392545600,,
286,490,Кузичев Илья Валерьевич,,,,,
287,491,Середа Леонид Анатольевич,0000-0002-4343-5448,B-5260-2018,57205435388,,
288,498,Алексеев Александр Викторович,,,,,
289,503,Петров Илья Владимирович,0000-0002-1073-6922,AAJ-5595-2021,57212315178,,
290,506,Абдулов Александр Викторович,0000-0003-4015-4699,AAN-2525-2020,57195507485,,
291,508,Порцев Руслан Юрьевич,0009-0009-4008-8725,AAK-2160-2021,57200285133,,
292,1091415,W Wang,,,,A5008654484,W Wang
293,511,Прангишвили И В,,,,,
294,513,Федосеев Денис Александрович,,,,,
295,516,Блинова Ольга Викторовна,0000-0002-2612-1383,,57194701248,,
296,517,Байбакова Елена Юрьевна,,,,,
297,518,Фоминых Дмитрий Сергеевич,,,,,
298,522,Коновалов Иван Владимирович,,,,,
299,524,Шейнис Виктор Ефимович,,,,,
300,525,Барбашев Михаил Петрович,,,,,
301,527,Остапенко Александр Григорьевич,,,,,
302,528,Ириков Валерий Алексеевич,,,,,
303,530,Старков Константин Евгеньевич,,,,,
304,533,Потехин Анатолий Иванович,,,,,
305,535,Ширванян Артем Мартиросович,,,,,
306,540,Вольф Данияр Александрович,0000-0001-5021-5411,HKM-8896-2023,57219468838,,
307,544,Бузиков Максим Эмонайевич,0000-0003-2469-4927,G-9543-2018,57208321992,,
308,546,Кротов Вадим Федорович,,,,,
309,547,Андрюшин Александр Васильевич,,,,,
310,551,Панкратова Екатерина Владимировна,0000-0002-6045-7518,,56439368900,,
311,553,Ткачева Ольга Сергеевна,,,,,
312,555,Моржин Олег Васильевич,,,,,
313,556,Тумченок Дмитрий Александрович,,,,,
314,557,Цурко Варвара Владимировна,,,,,
315,561,Мамедли Эмин Муса Оглы,,,,,
316,562,Абрамянц Тамара Гургеновна,,,,,
317,565,Осипов Андрей Борисович,,,,,
318,567,Аникина Евгения Владимировна,0000-0002-0799-6029,AAY-9293-2021,57212307623,,
319,568,Прохорова Элла Григорьевна,,,,,
320,570,Шифрин Михаил Абрамович,,,,,
321,572,Фомин Андрей Вячеславович,,,,,
322,574,Анашкина Анастасия Андреевна,,,,,
323,576,Мещерякова Наталья Геннадьевна,0000-0002-8257-2031,L-1226-2015,57204495455,,
324,578,Батьковский Александр Михайлович,,,,,
325,580,Баркалов Сергей Алексеевич,,,,,
326,584,Карпов Артемий Евгеньевич,,,,,
327,585,Кузменко Юлия Геннадьевна,,,,,
328,591,Тевяшов Глеб Константинович,0000-0003-3949-4936,ADD-8645-2022,57262656600,,
329,599,Гурман Владимир Иосифович,,,,,
330,601,Романова Мария Андреевна,0000-0001-5825-209X,ADD-1108-2022,57212308014,,
331,603,Зимин Валерий Викторович,,,,,
332,605,Горошникова Татьяна Аркадьевна,,,,,
333,607,Саломатин Александр Александрович,0000-0002-1143-5275,AAC-9927-2022,57221329786,,
334,608,Шипилина Любовь Борисовна,,,,,
335,609,Терешин В И,,,,,
336,610,Хуснуллин Наиль Фаридович,,,,,
337,615,Ефременко В Ф,,,,,
338,616,Исмаилов Жаксыбай Исраилович,,,,,
339,617,Яценко В В,,,,,
340,618,Werner Frank,,,,,
341,623,Крикунов А И,,,,,
342,624,Постнова Елена Александровна,,,,,
343,625,Баренбойм Григорий Матвеевич,,,,,
344,628,Солнечный Энгель Михайлович,,,,,
345,630,Першин Олег Юрьевич,,,,,
346,634,Хитрово Алексей Александрович,0000-0002-0490-1426,,,,
347,635,Михайлова Л С,,,,,
348,638,Иванов Анатолий Витальевич,,,,,
349,640,Якушенко Евгений Иванович,,,,,
350,645,Пономарев Роман Олегович,,,,,
351,649,Баженов Сергей Георгиевич,,,56135817200,,
352,650,Гончаренко Станислав Степанович,,,,,
353,652,Мысик Никита Сергеевич,,,,,
354,654,Белобродский Владимир Андреевич,,,,,
355,658,Кушникова Елена Вадимовна,,,,,
356,660,Критская Светлана Сергеевна,,,,,
357,662,Сметанин Юрий Геннадиевич,,,,,
358,663,Прохоров Артем Андреевич,,,,,
359,668,Кадысева Элина Андреевна,,,,,
360,673,Галина Сания Болаткызы,0000-0001-5242-0996,O-8047-2018,57217104550,,
361,677,Галахов Семен Алексеевич,0000-0002-8499-9864,HGF-0694-2022,57214228163,,
362,678,Катаев Дмитрий Евгеньевич,0000-0001-9356-4507,Y-8441-2018,56655064800,,
363,680,Берлин Леонид Михайлович,0000-0002-0589-5777,GVU-0369-2022,57804602000,,
364,686,Кришнамурти Ачьюта .,,,,,
365,687,Семенов Александр Германович,,,,,
366,688,Пархоменко Павел Павлович,,,,,
367,689,Беляев Михаил Михайлович,,,,,
368,690,Миллер Б М,,,,,
369,691,Дворяшина Марина Михайловна,0000-0001-8822-134X,J-2035-2015,57364299500,,
370,696,Боронин Иван Андреевич,,,,,
371,697,Кудинов Иван Юрьевич,,,,,
372,698,Самуйлов Константин Евгеньевич,,,,,
373,699,Жуков Дмитрий Андреевич,,,,,
374,701,Скрябин Алексей Валерьевич,,,,,
375,703,Ермилов Е В,,,,,
376,704,Пятецкий Валерий Ефимович,,,,,
377,706,Каточков Виктор Михайлович,,,,,
378,711,Паленов Максим Владимирович,,,,,
379,712,Павлова Евгения Александровна,0000-0003-0649-6521,AAJ-3593-2021,57189266817,,
380,720,Петров Б Н,,,,,
381,725,Седова Наталья Олеговна,,,,,
382,727,Брокарев Иван Андреевич,,,,,
383,733,Савельев Константин Андреевич,,,,,
384,738,Сычева Анастасия Антоновна,0000-0003-3230-4271,,57220899747,,
385,744,Васильев Дмитрий Вячеславович,,,,,
386,747,Фомина Алена Владимировна,,,,,
387,1049323,D. Emeliyanov,0000-0002-1363-9175,,,A5003123614,D. D. Emeliyanov; D. Emeliyanov; Dmitry D. Emeliyanov; Dmitry Emeliyanov
388,749,Петров Даниэль Александрович,,,36768958900,,
389,752,Исхаков Сергей Юнусович,,,,,
390,753,Масина Ольга Николаевна,,,,,
391,756,Овчинникова Татьяна Игоревна,,,,,
392,759,Телицына Татьяна Андреевна,,,,,
393,760,Сырых Лора Алексеевна,,,,,
394,765,Хрусталев Е Ю,,,,,
395,767,Шаврин Сергей Сергеевич,,,,,
396,772,Остапенко Григорий Александрович,,,,,
397,776,Егоров Николай Александрович,,,57191586670,,
398,779,Половинкина Алла Ивановна,,,,,
399,780,Петров Александр Сергеевич,,,,,
400,783,Хрипунов Сергей Петрович,0000-0002-1977-3623,,,,
401,784,Судаков Георгий Григорьевич,,,,,
402,787,Воеводин Александр Владимирович,,,,,
403,788,Костюченко Евгений Юрьевич,,,,,
404,790,Лепский В. Е.,,,,,
405,792,Демин Сергей Станиславович,0000-0002-6892-9129,,57192371546,,
406,794,Корняков Антон Андреевич,,,,,
407,796,Костин Валентин Викторович,,,,,
408,802,Жукова Галина Николаевна,,,,,
409,806,Горбунов Артур Валерьевич,,,,,
410,807,Галяев Иван Андреевич,0000-0001-6596-4474,,57220743791,,
