a,person_id,fio,orcid,researcherId,scopusId,openAlexId,alt_fios,cluster_id
50057,1042220,S. Prell,0000-0002-0195-8005,,,A5058626592,S. Prell; S.A. Prell; Soeren A. Prell; Soeren Andre Prell; Soeren Prell,1007
38230,1022117,S. Paktinat Mehdiabadi,,,,A5026199671,S. Paktinat Mehdiabadi; S. P. Mehdiabadi; SP Mehdiabadi,1008
43921,1027970,S. Paktinat Mehdiabadi,0000-0001-7303-0217,,http://www.scopus.com/inward/authorDetails.url?authorID=35222133300&partnerID=MN8TOARS,A5041076419,S. Mehdiabadi; S. P Mehdiabadi; S. Paktinat Mehdiabadi; Saeid Mehdiabadi; Saeid Paktinat Mehdiabadi,1008
39614,1023501,S. Petrushanko,0000-0003-0210-9061,,,A5081160576,S. Petrushanko; Sergey Petrushanko; S. V. Petrushanko; Sergey V Petrushanko,1009
40273,1024161,S. Petrushanko,,,,A5051774868,S. Petrushanko; S.V. Petrushanko; Serguei Petrushanko,1009
41691,1025730,S. Petrushanko,0000-0003-0210-9061,,,A5090712247,С. В. Петрушанко,1009
44706,1029441,S. Playfer,,,,A5020305244,S. Playfer; S. M. Playfer; Stephen M. Playfer; Stephen Michael Playfer; Stephen. Playfer,1010
49890,1041961,S. Playfer,,,,A5039150235,S. Playfer; S.M. Playfer,1010
5191,1081335,D. Ventura,,,,A5068240646,D. Ventura; Daniel Ventura; Daniel Wayne Ventura,1011
10822,1088052,D. Ventura,,,,A5076171030,D. Ventura; Dan Ventura,1011
10979,1088209,D. Ventura,,,,A5074779419,D. Ventura; Daneele Saraçol Ventura,1011
34682,1113519,D. Ventur,,,,A5066136204,D. Ventur,1011
5799,1081943,D. van der Ster,,,,A5090607417,D. Ster; D. Van Der Ster; D. van Der Van Der Ster; Daniel Van Der Ster,1012
10016,1087112,D van der Ster,,,,A5079506485,D Van Der Ster; Dan van der Ster,1012
11618,1088850,D. vanderSter,,,,A5070379572,D. vanderSter,1012
17001,1095000,D. vander Ster,,,,A5010698808,D. vander Ster,1012
6185,1082329,D. V. Perepelitsa,0000-0001-8732-6908,,,A5036606372,D. V. Perepelitsa; Dennis Perepelitsa; Dennis V. Perepelitsa,1013
7817,1084913,D. V. Perepelitsa,,,,A5087038600,D. Perepelitsa; D. V. Perepelitsa,1013
39421,1023308,D. Vishnevskiy,,,,A5073206137,D. Vishnevskiy; D.M. Vishnevskiy; Dmitry Vishnevskiy,1014
40644,1024532,D. Vishnevskiy,,,,A5028225696,D. Vishnevskiy; Dima Vishnevskiy,1014
2614,1069571,A. Borisov,0000-0001-6157-8947,,,A5053044123,A. V. Borisov; Anatoly Borisov; Anatoly V. Borisov; Anatoly Viktorovich Borisov; А.В. Борисов,1015
4435,1080579,A. Borisov,,,,A5039584516,A. A. Borisov; Anatoli Borisov; А. А. Борисов,1015
6240,1082384,A. Borisov,,,,A5041598350,A. A. Borisov; A. Borisov; Anatoly Borisov; A.A Borisov,1015
10192,1087288,A. Borisov,,,,A5030051085,А.А. Borisov,1015
32530,1110814,A. Borisov,,,,A5087784728,A. Borisov,1015
3770,1079914,A. Beddall,,,,A5013826649,A. Beddall; A. J. Beddall; Andrew Beddall; A.J Beddall,1016
9948,1087044,A. Beddall,,,,A5068954475,A. Beddall; A. J. Beddall,1016
4809,1080953,A. B. Fenyuk,,,,A5054097297,A. B. Fenyuk; A. Fenyuk; A.B Fenyuk; Alexander Fenyuk,1017
6679,1082823,A. B. Fenyuk,,,,A5087061143,A. B. Fenyuk; A. Fenyuk; Alexandre Fenyuk,1017
7786,1084882,A. B. Fenyuk,,,,A5072431106,A. B. Fenyuk; A. Fenyuk,1017
5345,1081489,A. Bingül,0000-0002-2455-8039,,,A5074008817,A. Bingul; A. Bingül; Ahmet Bingul; Ahmet Bingül; Ahmet Bıngül,1018
34600,1113437,A. Bingulc,,,,A5002887226,A. Bingulc,1018
5525,1081669,A. Baroncelli,0000-0001-7090-7474,,,A5080816684,A. Baroncelli; Antonio Baroncelli,1019
14692,1092185,A. Baroncellia,,,,A5030541278,A. Baroncellia,1019
5686,1081830,A. Bruni,0000-0003-4806-0718,,,A5086735125,A. Bruni; Alessia Bruni,1020
14884,1092377,A. Brunia,,,,A5089553983,A. Brunia,1020
8633,1085729,A. B. Kowalewska,0000-0003-2694-5080,,,A5074433826,A. B. Kowalewska; A. Kowalewska; Anna Bozena Kowalewska,1021
