person1,person2,common_pubs
1024225,1023820,26
1024225,1023295,26
1024225,1022897,26
1024225,1023513,1
1024225,1034879,24
1024225,1022151,26
1024225,1024040,9
1024225,1021563,26
1024225,1023297,3
1024225,1034749,24
1024225,1022574,25
1024225,1023372,8
1024225,1024157,1
1024225,1024016,26
1024225,1022808,26
1024225,1021675,26
1024225,1022687,26
1024225,1024067,6
1024225,1023571,3
1024225,1021874,21
1024225,1022306,26
1024225,1029858,4
1024225,1022673,26
1024225,1023493,26
1024225,1022998,26
1024225,1027167,11
1024225,1023999,26
1024225,1022181,25
1024225,1023760,26
1024225,1022203,24
1024225,1021961,26
1024225,1021758,2
1024225,1022248,26
1024225,1024682,14
1024225,1021857,26
1024225,1021746,26
1024225,1023632,2
1024225,1022845,24
1024225,1022081,2
1024225,1023381,21
1024225,1023505,3
1024225,1022993,26
1024225,1022356,26
1024225,1022938,26
1024225,1022904,26
1024225,1022269,23
1024225,1021896,26
1024225,1022963,19
1024225,1022304,24
1024225,1022330,26
1024225,1035053,1
1024225,1021631,6
1024225,1023742,26
1024225,1022719,26
1024225,1021475,25
1024225,1022942,26
1024225,1035185,7
1024225,1022180,13
1024225,1022642,14
1024225,1023724,25
1024225,1034915,24
1024225,1035107,3
1024225,1022868,26
1024225,1022522,26
1024225,1022917,12
1024225,1023905,2
1024225,1023515,26
1024225,1021670,26
1024225,1022391,24
1024225,1034815,11
1024225,1021490,26
1024225,1021510,26
1024225,1023304,24
1024225,1030176,2
1024225,1023293,16
1024225,1024118,25
1024225,1022256,26
1024225,1023497,25
1024225,1023355,20
1024225,1027827,8
1024225,1023134,22
1024225,1022754,3
1024225,1022022,11
1024225,1023434,26
1024225,1023308,17
1024225,1022406,26
1024225,1023732,26
1024225,1024053,25
1024225,1022052,26
1024225,1023883,2
1024225,1022026,26
1024225,1022509,26
1024225,1022036,26
1024225,1021879,22
1024225,1022748,26
1024225,1021391,26
1024225,1022316,3
1024225,1021471,24
1024225,1022707,23
1024225,1023746,24
1024225,1023699,26
1024225,1021494,19
1024225,1022472,2
1024225,1023605,8
1024225,1021844,26
1024225,1022065,26
1024225,1022818,6
1024225,1027101,10
1024225,1021601,26
1024225,1024390,24
1024225,1005760,2
1024225,1022879,16
1024225,1024316,10
1024225,1023773,23
1024225,1022440,26
1024225,1022365,26
1024225,1024201,26
1024225,1023105,18
1024225,1021519,26
1024225,1022121,23
1024225,1022758,24
1024225,1026584,24
1024225,1021517,26
1024225,1024570,1
1024225,1034949,24
1024225,1021528,26
1024225,1021607,26
1024225,1023501,14
1024225,1022649,13
1024225,1021998,26
1024225,1022724,26
1024225,1022364,25
1024225,1023816,26
1024225,1021555,26
1024225,1022456,2
1024225,1023128,26
1024225,1035182,1
1024225,1027392,4
1024225,1023651,24
1024225,1021457,26
1024225,1021523,26
1024225,1022720,17
1024225,1023722,26
1024225,1021743,26
1024225,1023407,24
1024225,1029225,16
1024225,1035653,1
1024225,1024310,26
1024225,1024401,25
1024225,1023998,5
1024225,1022638,25
1024225,1022955,26
1024225,1023952,25
1024225,1022210,24
1024225,1023572,26
1024225,1023929,21
1024225,1022453,6
1024225,1021761,25
1024225,1022062,24
1024225,1027670,23
1024225,1030038,1
1024225,1023923,25
1024225,1023004,26
1024225,1034913,17
1024225,1022785,2
1024225,1023533,19
1024225,1022617,1
1024225,1022693,26
1024225,1022137,25
1024225,1024001,26
1024225,1022094,26
1024225,1021627,26
1024225,1023046,26
1024225,1022103,26
1024225,1022987,12
1024225,1024296,24
1024225,1030027,22
1024225,1021895,6
1024225,1024307,26
1024225,1021509,26
1024225,1022815,2
1024225,1023757,26
1024225,1022865,26
1024225,1021730,26
1024225,1024210,25
1024225,1024499,15
1024225,1022405,1
1024225,1022524,26
1024225,1024012,26
1024225,1022660,26
1024225,1023429,21
1024225,1023716,22
1024225,1022564,26
1024225,1023045,26
1024225,1023137,12
1024225,1023042,26
1024225,1022130,26
1024225,1022263,24
1024225,1022387,23
1024225,1022696,26
1024225,1023353,24
1024225,1023604,19
1024225,1021982,26
1024225,1023087,26
1024225,1023706,26
1024225,1021646,2
1024225,1021987,26
1024225,1023468,25
1024225,1022728,20
1024225,1021751,15
1024225,1023734,26
1024225,1023228,20
1024225,1022465,26
1024225,1025621,13
1024225,1023360,24
1024225,1023934,15
1024225,1021546,21
1024225,1024553,6
1024225,1024192,26
1024225,1021658,26
